입국자국가,국가코드,입국연월,입국자 수
미국,275,201601,55739
미국,275,201602,50705
미국,275,201603,68719
미국,275,201604,81439
미국,275,201605,80489
미국,275,201606,88276
미국,275,201607,78526
미국,275,201608,69434
미국,275,201609,75736
미국,275,201610,82885
미국,275,201611,67641
미국,275,201612,66597
미국,275,201701,57212
미국,275,201702,52732
미국,275,201703,72477
미국,275,201704,83485
미국,275,201705,76347
미국,275,201706,85955
미국,275,201707,82472
미국,275,201708,71496
미국,275,201709,70933
미국,275,201710,80000
미국,275,201711,69009
미국,275,201712,66763
